All,Összes
"Use Custom Admin Path","Egyedi adminisztrációs útvonal használata"
"Custom Admin Path","Egyedi adminisztrációs útvonal"
"You will have to sign in after you save your custom admin path.","Miután elmentette az adminisztrációs útvonalat, be kell jelentkeznie."
Security,Biztonság
"Recovery Link Expiration Period (hours)","Helyreállítási Link lejárati idő (óra)"
"Please enter a number 1 or greater in this field.","Ebben a mezőben adjon meg egy számot, ami 1 vagy annál nagyobb."
"Add Secret Key to URLs","Titkos kulcs hozzáadása az URL-ekhez"
"Login is Case Sensitive","A bejelentkezés kis-nagybetű érzékeny"
"Admin Session Lifetime (seconds)","Adminisztrációs munkamenet élettartama (mp)"
"Please enter at least 60 and at most 31536000 (one year).","Kérjük, egy 60 és 31536000 (egy év) közti számot adjon meg!"
"Enable Charts","Diagramok engedélyezése"
"Url Options",URL-beállítások
"Add Store Code to Urls","Boltkód hozzáadása az URL-ekhez"
"<strong class=""colorRed"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third-party services (e.g. PayPal etc.).","<strong class=""colorRed"">Vigyázat!</strong> Az áruház kód URL-címekben történő használatakor, esetenként a rendszer nem fog megfelelően működni, ha áruház kód nélküli URL-címek lettek meghatározva a harmadik fél szolgáltatásainál (pl. PayPal fizetés, stb.)."
"Auto-redirect to Base URL","Automatikus átirányítás az Alap URL-re"
"I.e. redirect from http://example.com/store/ to http://www.example.com/store/","Pl. átirányítás a http://example.com/store/ -ról a http://www.example.com/store/ -ra"
"Search Engine Optimization","Kereső motor optimalizáció"
"Use Web Server Rewrites","Web Server Rewrites használata"
"Base URLs","Alap URL-ek"
"Any of the fields allow fully qualified URLs that end with '/' (slash) e.g. http://example.com/magento/","Mindegyik mező megengedi a teljesen minősített URL-eket, amelyek '/' (slash)-el végződnek. pl.: http://example.com/magento/"
"Base URL","Alap URL"
"Specify URL or {{base_url}} placeholder.","Adja meg az URL-vagy {{base_url}} helykitöltőt."
"Base Link URL","Alap Link URL"
"May start with {{unsecure_base_url}} placeholder.","Kezdődhet {{unsecure_base_url}} helykitöltővel."
"Base URL for Static View Files","Alap URL a statikus nézet fájlokhoz"
"May be empty or start with {{unsecure_base_url}} placeholder.","Lehet üres vagy kezdődhet {{unsecure_base_url}} helykitöltővel."
"Base URL for User Media Files","Alap URL a felhasználó médiafájlaihoz"
"Base URLs (Secure)","Alap URL-ek (biztonságos)"
"Any of the fields allow fully qualified URLs that end with '/' (slash) e.g. https://example.com/magento/","Mindegyik mező megengedi a teljesen minősített URL-eket, amelyek '/' (slash)-el végződnek. pl.: https://example.com/magento/"
"Secure Base URL","Biztonságos alap URL"
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.","Adja meg az URL vagy {{base_url}}, vagy {{unsecure_base_url}} helykitöltőt."
"Secure Base Link URL","Biztonságos alap Link URL"
"May start with {{secure_base_url}} or {{unsecure_base_url}} placeholder.","Kezdődhet {{secure_base_url}}, vagy {{unsecure_base_url}} helykitöltővel."
"Secure Base URL for Static View Files","Biztonságos alap URL a statikus fájlokhoz"
"May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder.","Lehet üres, vagy kezdődhet {{secure_base_url}}, vagy a {{unsecure_base_url}} helykitöltővel."
"Secure Base URL for User Media Files","Biztonságos alap URL a felhasználó médiafájlokhoz"
"Use Secure URLs on Storefront","Biztonságos URL-címek használata a Bolt nézetben"
"Enter https protocol to use Secure URLs on Storefront.","Adja meg a https protokollt, amelyet a biztonságos URL-ben használnak a vásárlói felületen."
"Use Secure URLs in Admin","Biztonságos URL az Admin felülethez"
"Enter https protocol to use Secure URLs in Admin.","Adja meg a https protokollt, amelyet a biztonságos URL-ben használnak az admin felületen."
"Enable HTTP Strict Transport Security (HSTS)","A HTTP Strict Transport Security (HSTS) engedélyezése"
"See <a href=""https://cheatsheetseries.owasp.org/cheatsheets/HTTP_Strict_Transport_Security_Cheat_Sheet.html"" target=""_blank"">HTTP Strict Transport Security</a> page for details.","Részletekért tekintse meg a <a href=""https://cheatsheetseries.owasp.org/cheatsheets/HTTP_Strict_Transport_Security_Cheat_Sheet.html"" target=""_blank"">HTTP Strict Transport Security</a> oldalt."
"Upgrade Insecure Requests","Nem biztonságos kérések cseréje"
"Offloader header","Offloader fejléc"
"Default Pages","Alapértelmezett oldal"
"Default Web URL","Alapértelmezett web URL"
"Default No-route URL","Alapértelmezett No-route URL"
"Session Validation Settings","Munkamenet-érvényesítés beállítások"
"Validate REMOTE_ADDR","REMOTE_ADDR érvényesítése"
"Validate HTTP_VIA","HTTP_VIA érvényesítése"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR érvényesítése"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENT érvényesítése"
"Cache Type",Gyorsítótár-típus
Description,Leírás
Tags,Cimkék
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading""> 404-es hiba</h1> <p>Az oldal nem található.</p>"
"Community Edition","Közösségi kiadás"
"Default Theme","Alapértelmezett téma"
"If no value is specified, the system default is used. The system default may be modified by third-party extensions.","Ha nincs megadva érték, a rendszer alapértelmezett fogja használni. Az alapértelmezett értéket harmadik féltől származó bővítmények módosíthatják."
"Applied Theme","Alkalmazott téma"
"Design Rule","Design szabály"
Pagination,Lapszámozás
"How many links to display at once.","Mennyi link jeleníthető meg egyszerre."
"Pagination Frame","Lapszámozás keret"
"If current frame position does not cover utmost pages, it renders the link to current position plus/minus this value.","Ha az aktuális keret helyzete nem foglalja magában a legnagyobb oldalt, jelenlegi helyzethez képest plusz/mínusz ezzel az értékkel lesz odébb kirajzolva."
"Pagination Frame Skip","Lapszámozás keret átugrása"
"Alternative text for the previous pages link in the pagination menu. If empty, the default arrow image is used.","Alternatív szöveg az előző oldal gombra a lapszámozás menüben. Ha üres, az alapértelmezett nyíl képet használja."
"Anchor Text for Previous","Szöveg az előző oldalhoz"
"Alternative text for the next pages link in the pagination menu. If empty, default arrow image is used.","Alternatív szöveg az következő oldal gombra a lapszámozás menüben. Ha üres, az alapértelmezett nyíl képet használja."
"Anchor Text for Next","Szöveg a következő oldalhoz"
"Theme Name","Téma név"
"System Backup","Rendszer biztonsági másolat"
"Database and Media Backup","Adatbázis média biztonsági mentés"
"Database Backup","Adatbázis biztonsági mentés"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Az Archívum kicsomagolható Windows rendszereken a <a href=""%1"">%2</a> segítségével."
"You need more permissions to activate maintenance mode right now.","Szüksége van további jogosultságokra, ha most a karbantartási üzemmódot szeretné aktiválni."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","A biztonsági másolat létrehozásához kérem törölje a kijelölést a ""Weboldalt karbantartási módba állítása"" mellől, vagy változtasson a jogosultságán."
"Something went wrong while putting your store into maintenance mode.","Valami félresikerült miközben a weboldalt karbantartási módba próbáltuk állítani."
"You need more free space to create a backup.","Kevés a szabad hely a meghajtón a biztonsági másolat készítéséhez."
"You need more permissions to create a backup.","Önnek további jogosultságokra van szüksége a biztonsági másolat készítéséhez."
"We can't create the backup right now.","Jelenleg nem tudjuk létrehozni a biztonsági mentést."
Backups,"Biztonsági mentések"
Backup,"Biztonsági mentés"
"We can't delete one or more backups.","Nem tudunk törölni egy vagy több biztonsági mentést."
failed,"nem sikerült"
successful,sikeres
"You deleted the selected backup(s).","Törölte a kijelölt biztonsági mentését vagy mentéseit."
"Can't load snapshot archive","Nem tudjuk betölteni a tárolt pillanatfelvételt"
"Please correct the password.","Kérem javítsa ki a jelszót."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","A visszaállításhoz kérem törölje a kijelölést a ""Weboldalt karbantartási módba állítása"" mellől, vagy változtasson a jogosultságán."
"We can't find the backup file.","A biztonsági mentés állománya nem található."
"We can't connect to the FTP right now.","Jelenleg nem tudunk FTP kapcsolatot létrehozni."
"Failed to validate FTP.","Nem sikerült érvényesíteni az FTP-t."
"You need more permissions to perform a rollback.","Önnek további jogosultságokra van szüksége a visszaállításhoz."
"Failed to rollback.","Nem sikerült a visszaállítás."
Database,Adatbázis
"Database and Media","Adatbázis és média"
"System (excluding Media)","Rendszer (kivéve a Media)"
"You created the system backup.","A rendszer biztonsági másolat létrejött."
"You created the system backup (excluding media).","A rendszer biztonsági másolat létrejött (kivéve a Médiát)."
"You created the database and media backup.","Az adatbázis és a média biztonsági mentés létrejött."
"You created the database backup.","Az Adatbázis biztonsági másolata létrejött."
"Please correct the order of creation for a new backup.","Kérem javítsa ki az új biztonsági mentés készítésének sorrendjét."
"The backup file does not exist.","A biztonságimásolat-fájl nem létezik."
"The backup file path was not specified.","A biztonságimásolat-fájl elérési útja nincs megadva."
"The backup file ""%1"" does not exist.","A biztonságimásolat-fájl ""%1"" nem létezik."
"Sorry, but we cannot read from or write to backup file ""%1"".","Sajnáljuk, de nem lehet olvasni vagy írni a biztonságimásolat-fájl ""%1""."
"The backup file handler was unspecified.","A biztonságimásolat-fájl kezelő nincs megadva."
"Something went wrong while writing to the backup file ""%1"".","Valami elromlott a biztonságimásolat-fájl ""%1"" írása közben."
"We can't save the Cron expression.","Nem tudjuk menteni a Cron kifejezést."
"Backup functionality is disabled","Biztonsági mentés letiltva"
"You will lose any data created since the backup was made, including admin users, customers and orders.","Minden adat el fog veszni ami a biztonsági másolat készítése után jött létre. Beleértve felhasználói fiókokat, rendeléseket, és az Admin felhasználókat is."
"Are you sure you want to continue?","Biztosan folytatni kívánja?"
"This may take a few moments.","Ez néhány percet igénybevesz."
"Be sure your store is in maintenance mode during backup.","Győződjön meg arról, hogy a weboldal karbantartási üzemmódban van a biztonsági másolat készítése alatt."
"Backup Name","Biztonsági másolat neve"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Ebben a mezőben csak betűket (a-z vagy A-Z), számokat (0-9) vagy szóközöket használhat."
"Maintenance mode","Karbantartás üzemmód"
"Please put your store into maintenance mode during backup.","Kérjük, hogy a weboldalt állítsa karbantartási módba biztonsági mentés során."
Exclude,Kizárás
"Exclude media folder from backup","Média könyvtár kizárása"
"Please enter the password to confirm rollback.","Kérjük írja be a jelszót, hogy megerősítse visszaállítást."
"This action cannot be undone.","Ez a művelet nem vonható vissza."
"User Password","Felhasználói jelszó"
"Please put your store into maintenance mode during rollback processing.","Kérjük, hogy a webáruházat állítsa karbantartási módba visszaállítás ideje alatt."
"Use FTP Connection","Használja az FTP-kapcsolatot"
"FTP credentials","FTP-hitelesítő adatok"
"FTP Host","FTP állomás"
"FTP Login","FTP bejelentkezés"
"FTP Password","FTP jelszó"
"Magento root directory","Magento gyökérkönyvtár"
"Create Backup","Másolat készítése"
Rollback,Visszaállítás
"Backup Settings","Biztonsági mentés beállításai"
"Enable Backup","Biztonsági mentés engedélyezése"
"Enable Scheduled Backup","Ütemezett biztonságimásolat-készítés engedélyezése"
"Scheduled Backup Type","Ütemezett biztonsági mentés fajtája"
Frequency,Gyakoriság
"Maintenance Mode","Karbantartás üzemmód"
"Are you sure you want to delete the selected backup(s)?","Biztosan törli a kijelölt biztonsági mentését vagy mentéseit?"
Size(bytes),Méret(bytes)
Type,Típus
Download,Letöltés
"Dynamic Blocks","Dinamikus blokkok"
"Add Dynamic Block","Dinamikus blokk hozzáadása"
"Save Dynamic Block","Dinamikus blokk mentése"
"Delete Dynamic Block","Dinamikus blokk törlése"
"Save and Continue Edit","Mentés és szerkesztés folytatása"
"New Dynamic Block","Új Dinamikus blokk"
Reset,Visszaállítás
"Default Content","Alapértelmezett tartalom"
"No Default Content","Nincs alapértelmezett tartalom"
"Dynamic Block Default Content for All Store Views","Dinamikus blokk alapértelmezett tartalma a minden bolt nézethez"
"Store View Specific Content","Bolt nézet specifikus tartalom"
"Use Default","Alapértelmezés használata"
"Related Promotions","Kapcsolódó akciók"
Rule,Szabály
"Start Date","Kezdő dátum"
"End Date","Záró dátum"
"Dynamic Block Properties","Dinamikus blokk tulajdonságok"
"Dynamic Block Name","Dinamikus blokk neve"
Active,Aktív
Inactive,Inaktív
"Applies To",Vonatkozik
"Any Dynamic Block Type","Bármilyen dinamikus blokk típus"
"Specified Dynamic Block Types","Meghatározott dinamikus blokk típus"
"Specify Types","Típusok megadása"
"Dynamic Block Information","Dinamikus blokk információ"
"Dynamic Block","Dinamikus blokk"
"Dynamic Block Type","Dinamikus blokk típusa"
"Are you sure you want to delete these dynamic blocks?","Biztos benne, hogy törölni akarja ezeket a dinamikus blokkokat?"
"Related Dynamic Blocks","Kapcsolódó dinamikus blokkok"
Position,Pozició
"This rule no longer exists.","Ez a szabály már nem létezik."
"You deleted the dynamic block.","Dinamikus blokk törölve."
"Something went wrong while deleting dynamic block data. Please review the action log and try again.","Valami nem sikerült a dinamikus blokk adatainak törlésekor. Kérjük nézze át a tevékenységnaplót, és próbálja újra."
"We cannot find a dynamic block to delete.","A törlendő dinamikus blokk nem található."
"This dynamic block no longer exists.","Ez a dinamikus blokk már nem létezik."
"Edit Dynamic Block","Dinamikus blokk szerkesztése"
"Please select a dynamic block(s).","Kérjük, válasszon egy dinamikus blokkot."
"You deleted %1 record(s).","%1 rekord törölve."
"Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.","Valami nem sikerült a dinamikus blokkok tömeges törlésekor. Kérjük nézze át a tevékenységnaplót, és próbálja újra."
"This dynamic block does not exist.","Ez a dinamikus blokk nem létezik."
"You saved the dynamic block.","Dinamikus blokk elmentve."
"We cannot save the dynamic block.","Nem lehet menteni a Dinamikus blokkot."
"Invalid Request","Érvénytelen kérés"
"Please enter a name.","Írjon be egy nevet."
"Content includes restricted HTML elements. %1","Tiltott HTML elemeket tartalmaz. %1"
"Make sure that dynamic blocks rotator does not reference the dynamic block itself.","Győződjön meg arról, hogy a dinamikus blokk forgató nem hivatkozik a blokkra magára."
"-- None --",--Nincs--
"Invalid content","Érvénytelen tartalom"
"Content Area","Tartalmi rész"
Footer,Lábléc
Header,Fejléc
"Left Column","Bal oldali oszlop"
"Right Column","Jobb oldali oszlop"
"Manage Dynamic Blocks","Dinamikus blokkok kezelése"
"Dynamic Blocks Rotator","Dinamikus blokkok forgató"
"Displays Specified or Promotion Dynamic Blocks","Megjeleníti a megadott vagy az akciós dinamikus blokkokat"
"Dynamic Blocks to Display","Megjelenítendő dinamikus blokkok"
"Specified Dynamic Blocks","Meghatározott dinamikus blokkok"
"Cart Price Rule Related","Kosár ár szabályhoz kapcsolódik"
"Catalog Price Rule Related","Katalógus árszabályhoz kapcsolódik"
"Restrict by Dynamic Block Types","Dinamikus blokk ok tiltása típusuk szerint"
"Rotation Mode","Forgatás mód"
"Display all instead of rotating","Mind megjelenítése a forgatás helyett"
"One at the time, Random","Egyszerre egyet, véletlenszerűen"
"One at the time, Series","Egyszerre egyet, sorban"
"One at the time, Shuffle","Egyszerre egyet, keverve"
"Specify Dynamic Blocks","Dinamikus blokkok meghatározása"
"Dynamic Block Template","Dinamikus blokk sablon"
"Dynamic Block Inline Template","Dinamikus blokk Inline sablon"
"Status Label","Státusz címke"
"General Information","Általános információ"
"Enable Dynamic Block","Dinamikus blokk bekapcsolása"
"Cart price rules allows you to setup promotions for items that are in the shopping cart.","Kosár ár szabályok lehetővé teszik, hogy beállítson promóciók a kosárban található cikkekhez."
"Add Cart Price Rules","Kosár ár szabályok hozzáadása"
"Related Catalog Price Rule","Kapcsolódó katalógus ár szabály"
"Catalog price rules allows you to setup promotions for an items in catalog.","Katalógus ár szabályok lehetővé teszik, hogy beállítson akciókat termékekhez."
Cancel,Mégsem
"Add Selected","Kijelölt(ek) hozzáadása"
Visibility,Láthatóság
"All Segments","Minden szegmens"
"Customer Segment",Vásárló-szegmensek
"Allowed Credit Card Types","Engedélyezett hitelkártya típusok"
"Add Rule","Szabály hozzáadása"
"Braintree Settlement Report","Braintree elszámolási jelentés"
"Sorry, but something went wrong","Sajnáljuk, de hiba történt"
"We can't initialize checkout.","A fizetés nem indítható."
"No authorization transaction to proceed capture.","Nincs megfelelő engedély a tranzakció folytatásához."
"Transaction is successful.","A tranzakció sikeres."
"Braintree error response.","Braintree hiba válasz."
"Payment method nonce can't be retrieved.","A fizetési mód nem állítható helyre!"
"Wrong transaction status","A hibás tranzakció állapot"
Authorize,Engedélyez
"Credit Card",Bankkártya
ending,befejező
expires,lejár
"Please agree to all the terms and conditions before placing the order.","Kérjük, fogadd el az összes általános szerződési feltételt mielőtt leadsz egy rendelést."
"Transaction was failed.","Tranzakció nem jött létre."
"Please, enter valid Credit Card Number","Kérem adjon meg érvényes hitelkártyaszámot"
"Please, enter valid Expiration Date","Kérem adjon meg érvényes lejárati dátumot"
"Please, enter valid Card Verification Number","Kérem adjon meg érvényes kártya ellenőrző számot"
"Are you sure you want to delete this PayPal account","Biztosan törli ezt a PayPal fiókot?"
"PayPal Account","PayPal fiók"
"PayPal Logo","PayPal logó"
"Credit Card Information",Hitelkártya-adatok
"Save for later use.","Mentés a későbbi használathoz."
"This payment is not available","Ez a fizetési mód nem áll rendelkezésre"
MM,HH
YY,ÉÉ
"Please try again with another form of payment.","Kérem próbálja újra egy másik fizetési móddal."
"Sorry, but something went wrong.","Sajnáljuk, de hiba történt."
"Payment ","Fizetés "
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Fogadjon el bankkártyás, hitelkártyás és PayPal-on keresztüli fizetést boltjában!<br/>Nincs beállítási és havidíj, és a vásárlónak nem kell elhagynia a webáruházat a fizetés lebonyolításához."
"Enable this Solution","A megoldás engedélyezése"
"Enable PayPal through Braintree","PayPal engedélyezése Braintreen kersztül"
"Vault Enabled","Vault engedélyezése"
"Basic Braintree Settings","Braintree alapbeállításai"
"Merchant ID","Kereskedő azonosító"
"Public Key","Nyilvános kulcs"
"Private Key","Privát kulcs"
"Advanced Braintree Settings","Braintree speciális beállítások"
"Vault Title","Vault cím"
"Merchant Account ID","Kereskedő fiók azonosító"
"Advanced Fraud Protection","Fejlett adathalász védelem"
"Kount Merchant ID","Kount kereskedő azonosító"
"CVV Verification","CVV ellenőrzés"
"Country Specific Settings","Ország-specifikus beállítások"
"Country Specific Credit Card Types","Ország specifikus hitelkártya típusok"
"PayPal through Braintree","PayPal a Braintreen keresztül"
"Override Merchant Name","Kereskedő nevének felülírása"
"Require Customer's Billing Address","Vásárló számlázási címe szükséges"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","A szállítási cím szerkesztésének engedélyezése PayPal fizetési folyamat közben"
"Display on Shopping Cart","Megjelenik a kosárban"
"Skip Order Review","Rendelés áttekintésének átugrása"
"3D Secure Verification Settings","3D Secure ellenőrzés beállítások"
"3D Secure Verification","3D Secure ellenőrzés"
"Threshold Amount",Küszöbérték
"Verify for Applicable Countries","Alkalmazható országok ellenőrzése"
"Verify for Specific Countries","Meghatározott országok ellenőrzése"
"Dynamic Descriptors","Dinamikus leírók"
Phone,Telefon
URL,URL-cím
"CVV is required.","CVV kötelező."
"Expiration date is required.","Lejárati dátum kötelező."
"Expiration date is invalid.","Lejárati dátum érvénytelen."
"Expiration year is invalid. It must be between 1975 and 2201.","Lejárati év érvénytelen. Értékének 1975 és 2201 között kell lennie."
"Expiration month is invalid.","Lejárati hónap érvénytelen."
"Expiration year is invalid.","Lejárati év érvénytelen."
"CVV verification failed.","CVV ellenőrzés sikertelen."
"Postal code verification failed.","Irányítószám ellenőrzés sikertelen."
"Company is too long.","Cégnév túl hosszú."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Szűrők alkalmazása az eredményért. Csak az első 100 rekord jelenik meg a táblázatban, de lehetősége van a teljes jelentés letöltésére .csv formátumban."
Select...,Válasszon...
"Transaction Type","Tranzakció típus"
"Payment Type","Fizetési mód"
"PayPal Payment ID","PayPal fizetési azonosító"
"Created At",Létrehozva
"Transaction ID","Tranzakció azonosító"
"Order ID","Megrendelés azonosító"
Amount,Összeg
"Settlement Code","Elszámolás kód"
"Settlement Response Text","Elszámolás válasz szöveg"
"Refund Ids","Visszatérítés azonosítók"
"Settlement Batch ID","Elszámolási köteg azonosító"
Month,Hónap
Year,Év
"Stored Card","Tárolt kártya"
"Credit card successfully added","Hitelkártya sikeresen hozzáadva"
"Something went wrong while saving the card.","Hiba történt a kártya mentése közben."
"Credit card does not exist","Bankkártya nem létezik."
"Delete Credit Card","Bankkártya törlése"
"There was error deleting the credit card","Hiba történt a bankkártya törlése közben."
"Credit card successfully deleted","Bankkártya sikeresen törölve."
"Edit Credit Card","Bankkártya módosítása"
"My Credit Cards",Bankkártyáim
"New Credit Card","Új bankkártya"
"There was error during saving card data","Hiba történt a kártya adatainak mentése közben."
"We can't place the order.","Nem indítható a megrendelés."
"Incorrect payment method.","Helytelen fizetési mód."
"We can't initialize checkout review.","Nem indítható a fizetés ellenőrzése."
"We can't update shipping method.","A szállítási módot nem tudjuk megváltoztatni."
Invoice,Számla
"some error","néhány hiba"
"Payment Information","Fizetési információk"
or,vagy
"* Required Fields","* kitöltése kötelező"
"Billing Address","Számlázási cím"
Company,Cég
Address,Cím
State/Province,Állam/megye
"Please select region, state or province","Kérjük válassza ki a régiót, államot vagy megyét"
"Zip/Postal Code",Irányítószám
"Card Number",Kártyaszám
"Is Default",Alapértelmezett
"Paypal account","PayPal fiók"
"Coinbase account","Coinbase fiók"
"Europe bank account","Európa bank fiók"
"Credit card",Bankkártya
"Authorization expired","Engedély lejárt"
Authorizing,Engedélyezés
Authorized,Engedélyezve
"Gateway rejected","Átjáró elutasítva"
Failed,Sikertelen
"Processor declined","Tranzakció visszautasítva"
Settled,Elszámolva
Settling,Rendezés
"Submitted for settlement","Beküldött elszámolások"
Voided,Érvénytelenítve
Unrecognized,Ismeretlen
"Settlement declined","Elszámolás visszautasítva"
"Settlement pending","Elszámolás folyamatban"
"Settlement confirmed","Elszámolás megerősítve"
Sale,Eladás
Credit,Egyenleg
"Vault enabled","Vault engedélyezése"
"Percent Discount","Százalékos kedvezmény"
"-- Select --","-- Válasszon --"
Dynamic,Dinamikus
Fixed,Rögzített
"Create New Option","Új lehetőség létrehozása"
"Bundle Items","Kötegelt elemek"
"Add Products to Option","Termékek hozzáadása a lehetőséghez"
"Delete Option","Lehetőség törlése"
"What are you looking for?","Mit keres?"
"There is no defined renderer for ""%1"" option type.","Nincs definiált fordító a ""%1"" lehetőség típushoz."
"This is implemented for bundle products only.","Csak összecsomagolt termékre vonatkozik."
"The product with the ""%1"" SKU isn't a bundle product.","A termék ""%1"" cikkszámmal nem összecsomagolt termék."
"The bundle product can't contain another composite product.","Összecsomagolt termék nem tartalmazhat másik összetett terméket."
"Could not save child: ""%1""","Nem lehet menteni a gyermeket: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","A megadott ""%1"" cikkszámú termék nem nem tartalmazza a ""%2"" lehetőséget"
"Child with specified sku: ""%1"" already assigned to product: ""%2""","A ""%1"" cikkszámú gyermek már hozzá van rendelve a ""%2"" termékhez"
"The option couldn't be saved.","Az opció nem menthető el."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" megadása kötelező."
"Price Range",Ártartomány
"As Low as","Olcsóbb mint"
Together,Együtt
Separately,Külön-külön
"Please specify product option(s).","Adja meg a termék lehetőség(ek)et."
"The options you selected are not available.","A kiválasztott lehetőség nem elérhető."
"The required options you selected are not available.","Kiválasztott szükséges lehetőségek nem állnak rendelkezésre."
"Please select all required options.","Kérjük, válassza ki a szükséges lehetőségeket."
"We can't add this item to your shopping cart right now.","Jelenleg ezt a terméket nem teheti a kosarába."
Percent,Százalék
"We can't save custom-defined options for bundles with dynamic pricing.","Nem lehet menteni a Vevő által definiált lehetőségeket az összecsomagolt, dinamikus árazású termékek esetén."
"Add Selected Products","Kijelölt termékek hozzáadása"
"Add Option","Opció hozzáadása"
"New Option","Új opció"
"Option Title","Opció cím"
"Default Title","Alapértelmezett Cím"
"Store View Title","Bolt nézet cím"
"Input Type","Beviteli mező típusa"
Drop-down,"Lenyíló menü"
"Radio Buttons",Rádiógombok
Checkbox,Jelölőnégyzet
"Multiple Select","Többszörös kijelölés"
Required,Kötelező
"Default Quantity","Alapértelmezett mennyiség"
"User Defined","Felhasználó által definiált"
"Price Type",Ártípus
Quantity:,Mennyiség:
"Choose a selection...","Válassz lehetőséget..."
"Ship Bundle Items","Összecsomagolt termékek szállítása"
"There are no products in this option.","Nincsenek termékek ebben a lehetőségben."
Default,Alapértelmezett
Ordered,Megrendelt
Invoiced,Számlázott
Shipped,Kiszállítva
Refunded,Visszatérített
Canceled,Törölve
"Regular Price","Lista ár"
"As low as","Olcsóbb mint"
"Buy %1 with %2 discount each","Vásároljon %1 %2 kedvezménnyel"
"Go back to product details","Vissza a termék leíráshoz"
"Customize and Add to Cart","Testreszabás és kosárba helyezés"
"Your Customization","Az Ön testreszabása"
Availability,Elérhetőség
"In stock",Raktáron
"Out of stock","Nincs raktáron"
Availability:,Elérhetőség:
"Customize %1","%1 testreszabása"
"No options of this product are available.","Ehhez a termékhez nincs lehetőség."
"Gift Message","Ajándék üzenet"
From:,Feladó:
To:,Címzett:
Message:,Üzenet:
"Product Name",Terméknév
"Discount Amount","Engedmény összege"
"Row Total","Sor összeg"
"Qty Invoiced","Számlázott mennyiség"
"Qty Shipped","Szállított mennyiség"
"Add Products to New Option","Termékek hozzáadása egy új lehetőséghez"
"Add Products to Option ""%1""","Termékek hozzáadása a ""%1"" lehetőséghez"
"Special Price","Akciós ár"
"""option_id"" and ""parent_id"" values should be specified","""option_id"" és ""parent_id"" értékeket meg kell adni"
"""sku"" value should be specified","""sku"" értékét meg kell adni"
"Unique constraint violation found","Egyedi megszorítási hiba található"
Always,Mindig
"After number of attempts to login","Megadott számú bejelentkezési kísérlet után"
"Provided form does not exist","A megadott űrlap nem létezik"
"Incorrect CAPTCHA","Érvénytelen CAPTCHA"
"Incorrect CAPTCHA.","Érvénytelen CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","A fiók zárolva. Kérlek várj és próbáld újra vagy lépj velünk kapcsolatba: %1."
"Please enter the letters and numbers from the image","Kérlek, add meg a betűket és a számokat a képről"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Figyelem</strong>: A CAPTCHA kis- és nagybetű érzékeny."
"Reload captcha","CAPTCHA újratöltése"
"Please type the letters and numbers below","Kérlek, írd be a betűket és a zámokat alább"
"Attention: Captcha is case sensitive.","Figyelem: A CAPTCHA kis- és nagybetű érzékeny."
"Enable CAPTCHA in Admin","CAPTCHA engedélyezése az Adminban"
Font,Betűtípus
Forms,Űrlapok
"Displaying Mode","Megjelenítési mód"
"Number of Unsuccessful Attempts to Login","Sikertelen kísérletek száma a belépéshez"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Ha 0 van megadva, a bejelentkezési űrlapon  a CAPTCHA mindig elérhető lesz."
"CAPTCHA Timeout (minutes)","CAPTCHA időtúllépés (perc)"
"Number of Symbols","Szimbólumok száma"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Maximum 8 szimbólumot adjon meg. Tartomány is megadható (pl 3-5)"
"Symbols Used in CAPTCHA","CAPTCHA-ban használt szimbólumok"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Kérjük csak betűket (a-z vagy A-Z) vagy számokat (0-9) használj ebben a mezőben. Szóközök vagy egyéb karakterek nem engedélyezettek.<br />Hasonló kinézetű karakterek (pl. ""i"", ""l"", ""1"") csökkentik a helyes felismerés esélyét."
"Case Sensitive","Kis- és nagybetű érzékeny"
"Enable CAPTCHA on Storefront","CAPTCHA engedélyezése a Storefronton"
